ensembl,gene_name,naive,Th0,Th1,Th17,Th2,Th9,Treg,memory,meanTPM
ENSMUSG00000000001,Gnai3,81.38268922,83.25530068,86.03496439,100.8918989,109.9569096,103.2993945,86.05703773,106.2792094,94.64467555
ENSMUSG00000000028,Cdc45,1.478422679,70.06157521,23.58756772,41.53525105,32.97284228,31.37925208,57.52766965,7.883780479,33.30329514
ENSMUSG00000000037,Scml2,0.225489367,1.497633013,0.276612726,0.6304555,0.339008378,0.343286915,1.317627452,0.299003115,0.616139558
ENSMUSG00000000049,Apoh,0,0.267273618,0.111584545,0.081200008,0.32041413,0.206325338,0.12539511,0.203690263,0.164485377
ENSMUSG00000000056,Narf,9.133638545,17.392886,13.70886125,20.10652069,10.6730239,8.667674512,15.15147594,14.40152522,13.65445076
ENSMUSG00000000058,Cav2,0,2.057136721,0.416849741,1.604240876,0.495756635,0.451090777,1.862895998,0.613058953,0.937628713
ENSMUSG00000000078,Klf6,227.9429265,60.65289905,253.2646073,154.8468525,102.5768187,172.0201154,70.69445592,301.6329037,167.9539474
ENSMUSG00000000085,Scmh1,11.56439451,9.873135567,8.611973304,13.80689157,6.009999314,8.541055362,13.01149077,12.3054638,10.46555052
ENSMUSG00000000088,Cox5a,113.6619636,321.0099321,262.7419799,215.6150626,219.880667,279.4538997,306.3261621,143.380206,232.7587341
ENSMUSG00000000093,Tbx2,0.225481871,0.066430484,0.060918008,0.120163644,0.039376851,0.023181406,0.171418281,0.461572709,0.146067907
ENSMUSG00000000094,Tbx4,0,0.024578291,0.02295449,0.012784677,0.012181019,0.010748563,0.028927507,0.05406142,0.020779496
ENSMUSG00000000120,Ngfr,0,0.101922262,0.106783121,0.090921539,0.053149077,0.087435251,0.063060545,0.218789525,0.090257665
ENSMUSG00000000125,Wnt3,0,0.470210339,0.009440191,0.020408438,0.280507207,0.07566298,0.037021075,0.667073327,0.195040445
ENSMUSG00000000126,Wnt9a,0,0.006337983,0,0,0.057577759,0.034950033,0.004273987,0,0.01289247
ENSMUSG00000000127,Fer,0,0.328621025,0.129889024,0.462339692,0.362232768,0.523931786,0.166334775,0.253110079,0.278307394
ENSMUSG00000000131,Xpo6,133.0954959,107.9727396,67.89918702,79.06599156,87.6226318,76.0889385,99.29428258,111.2679476,95.28840182
ENSMUSG00000000134,Tfe3,19.7824411,25.35395703,20.42545625,33.03177252,25.68755544,21.05588986,37.04872661,34.87305652,27.15735692
ENSMUSG00000000142,Axin2,22.84005612,6.318883404,1.165704316,7.298696858,6.956218569,2.078771826,10.27531207,48.81372442,13.21842095
ENSMUSG00000000148,Brat1,10.79970882,9.196885576,6.81572413,8.551872435,12.38958123,10.36017254,9.016217775,6.549665852,9.209978545
ENSMUSG00000000149,Gna12,13.94826981,11.75343936,7.904097495,17.70940584,20.26294021,13.17839924,21.50454095,20.40886798,15.83374511
ENSMUSG00000000154,Slc22a18,0,0.032662004,0.014945665,0.009750321,0,0.00727161,0.046590564,0.122488527,0.029213587
ENSMUSG00000000157,Itgb2l,0,0,0.003787874,0,0,0,0,0,0.000473484
ENSMUSG00000000159,Igsf5,0,0.078838748,0.144356948,0.040444005,0.024000851,0.09404866,0.031851518,0.014972413,0.053564143
ENSMUSG00000000167,Pih1d2,0,1.81728267,2.016303512,1.556249881,2.015553383,1.790377492,2.476212714,1.431047986,1.637878455
ENSMUSG00000000168,Dlat,17.87196451,38.43874704,23.56343121,25.78217713,17.04793934,24.8544296,30.63784249,19.48898355,24.71068936
ENSMUSG00000000171,Sdhd,50.41888577,155.3357603,126.7937004,112.5287479,110.2844505,120.7393597,133.7037893,58.71260833,108.5646628
ENSMUSG00000000182,Fgf23,0,0.066480231,0.055354662,0.108052237,0.047820797,0.084299309,0.024420238,0,0.048303434
ENSMUSG00000000183,Fgf6,0,0.027630205,0.028178349,0.035200988,0.038334644,0.038394843,0.039352575,0.067937711,0.034378665
