ensembl,gene_name,naive,4h,12h,24h
ENSMUSG00000000001,Gnai3,55.6416196,87.21637778,95.98905726,78.61630819
ENSMUSG00000000003,Pbsn,0,0,0,0
ENSMUSG00000000028,Cdc45,8.424536981,3.774773948,6.586522864,69.22275323
ENSMUSG00000000037,Scml2,0.177739272,0.33613073,0.273361972,1.002252662
ENSMUSG00000000049,Apoh,0.663290199,0.57726339,1.427281347,0.763852613
ENSMUSG00000000056,Narf,14.42917321,8.478053797,9.558161539,10.27161728
ENSMUSG00000000058,Cav2,0.045573516,0.010895482,0.004864043,0.058342932
ENSMUSG00000000078,Klf6,161.3033626,77.09180215,73.36233094,44.15827546
ENSMUSG00000000085,Scmh1,14.2266163,14.38091729,8.501167417,10.01361918
ENSMUSG00000000088,Cox5a,58.34045095,117.2368621,170.9833344,193.421526
ENSMUSG00000000093,Tbx2,0.092955027,0.063923175,0.045258685,0.03206191
ENSMUSG00000000094,Tbx4,0.035716429,0.077911459,0.071505165,0.029916433
ENSMUSG00000000103,Zfy2,0,0,0,0
ENSMUSG00000000120,Ngfr,0.180132051,0.090289448,0.090132522,0.117319833
ENSMUSG00000000125,Wnt3,0.043310498,0.070958654,0.055108761,0.051846267
ENSMUSG00000000126,Wnt9a,0,0.005056451,0,0
ENSMUSG00000000127,Fer,0.136576905,0.154871456,0.097419456,0.162559296
ENSMUSG00000000131,Xpo6,63.28110181,87.69241139,72.31628706,80.09876824
ENSMUSG00000000134,Tfe3,6.795558154,16.54152727,13.78283861,14.06091242
ENSMUSG00000000142,Axin2,20.33674166,8.046068929,9.135520778,8.527929307
ENSMUSG00000000148,Brat1,17.3829049,16.55933351,14.72142781,13.65947065
ENSMUSG00000000149,Gna12,6.519401613,12.94827659,13.55315067,12.13938691
ENSMUSG00000000154,Slc22a18,0.034450629,0,0,0
ENSMUSG00000000157,Itgb2l,0.10540104,0.022526949,0.005911047,0.005715115
ENSMUSG00000000159,Igsf5,0,0,0,0
ENSMUSG00000000167,Pih1d2,1.637572522,2.415502784,2.35364825,2.236173172
ENSMUSG00000000168,Dlat,18.87998659,29.18326722,41.06661319,44.92258483
ENSMUSG00000000171,Sdhd,47.16662144,52.92324026,101.6977423,136.2648836
ENSMUSG00000000182,Fgf23,0.130556357,0.119387998,0.02408777,0.059287479
ENSMUSG00000000183,Fgf6,0.092039131,0.101412516,0.050812875,0.048801673
ENSMUSG00000000184,Ccnd2,79.80944745,160.8191797,126.1911679,119.2910624
ENSMUSG00000000194,Gpr107,30.0858146,49.71606095,31.77264696,25.14415415
ENSMUSG00000000197,Nalcn,0.576168219,0.737662706,0.274605832,0.294762687
ENSMUSG00000000202,Btbd17,0.123410374,0,0.076215079,0.00482386
ENSMUSG00000000204,Slfn4,0.424604412,0.425477863,0.481937677,0.957812691
ENSMUSG00000000214,Th,0.416190727,0.568528752,0.367302553,0.18748515
ENSMUSG00000000215,Ins2,0.112896105,0.022045126,0.088325356,0.039004269
ENSMUSG00000000216,Scnn1g,0,0,0,0.004873678
ENSMUSG00000000223,Drp2,0.270596783,0.262827676,0.141418812,0.271393083
