,Comparison,Gene,LogFC,AdjP
0,L7_vs_E7,Satb1,-2.38520357899834,8.943871390972889e-40
1,L7_vs_E7,Tcf7,-0.207274044314504,0.562429008338934
2,L7_vs_E7,Entpd1,0.683636157678683,0.105102648331976
3,L7_vs_E7,Prdm1,-1.19960592381909,0.0989696117817742
4,L7_vs_E7,Havcr2,0.305061376458144,0.662178358768968
5,L7_vs_E7,Tox,3.4238229944408,3.99243590892598e-64
6,L7_vs_E7,Pdcd1,4.20528278385186,1.30502740361971e-91
7,L14_vs_L7,Satb1,-1.78967302179999,4.3534839203973604e-09
8,L14_vs_L7,Tcf7,-1.90025791161384,0.0003697530525068
9,L14_vs_L7,Entpd1,3.28906347053329,2.11034663892651e-16
10,L14_vs_L7,Prdm1,3.00682270496905,0.0012293952521562
11,L14_vs_L7,Havcr2,0.303006159540992,0.250491552592718
12,L14_vs_L7,Tox,0.667437160091962,0.0033785742688521
13,L14_vs_L7,Pdcd1,0.563815166183465,0.0255601887081555
14,L60_vs_L14,Satb1,-0.353407160163734,0.365008338574134
15,L60_vs_L14,Tcf7,-3.0954421238153,0.001096152248283
16,L60_vs_L14,Entpd1,0.0362084880114261,0.937493762458711
17,L60_vs_L14,Prdm1,0.261189978038531,0.434256858477336
18,L60_vs_L14,Havcr2,-2.27236515638904,1.63873493244017e-06
19,L60_vs_L14,Tox,-0.048290600568045,0.92048755784217
20,L60_vs_L14,Pdcd1,0.391156045048821,0.132675982549499
